KUNNR,KTOKD,STKZN,NAME1,NAME2,STCD1,STCD2,GBDAT,LAND1,REGIO,ORT01,STRAS,TELF1,SMTP_ADDR,CTLPC,ZZ_CONTRATOS,ZZ_SERVICIOS,BPROL,ZZ_CATEGORIA,ZZ_BENEFICIARIO_DE,LOEVM,ERDAT,AEDAT
0000300052,ZPER,X,Alexander Javier,Jiménez Gil,,932726945,1971-02-11,CO,CUN,25754,Avenida Yury Pérez Hoyos # 61-81 Este,3232817392,ALEXANDER.GUZMÁN186@EJEMPLO.TEST,002,CR-00052:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300053,ZPER,X,Javier,Alzate Jaramillo,,928730417,1958-06-06,CO,ANT,05001,Av. calle 61 # 9-5 Este,3122844125,JAVIER.RÍOS188@EJEMPLO.TEST,002,CR-00053:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300054,ZPER,X,Laura,Andrade Sánchez,,997206960,1950-03-17,CO,ANT,05001,Cl. 172T Sur # 3Q-8,3039441500,LAURA.VÁSQUEZ190@EJEMPLO.TEST,003,CR-00054:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300055,ZPER,X,Rafael,Mejía García,,920803048,2001-01-25,CO,CUN,25754,Carrera 97O # 34-31 Este,3457776454,RAFAEL.TORRES191@EJEMPLO.TEST,001,CR-00055:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300056,ZPER,X,Alexandra Mayerly,Mendoza Posada,,928238050,1958-05-13,CO,VAL,76001,Carrera 3ª # 7-9,3438079878,ALEXANDRA.MUÑOZ201@EJEMPLO.TEST,002,CR-00056:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300057,ZPER,X,Eugenia,Gutiérrez Guerra,,914062142,1953-11-03,CO,BOG,11001,Calle 93 # 30-1 Sur,3371682907,EUGENIA.VELÁSQUEZ209@EJEMPLO.TEST,001,CR-00057:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300058,ZPER,X,Judith Lucía,Villegas López,,944664189,1945-07-07,CO,BOG,11001,Dg. 66 Este # 50-21 Sur,3084599796,JUDITH.PEREA212@EJEMPLO.TEST,001,CR-00058:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300059,ZPER,X,María,Cárdenas López,,950469478,2001-06-23,CO,CUN,25286,Cr. 8 Bis # 91U-42 Este,3365401806,MARÍA.VELASCO217@EJEMPLO.TEST,001,CR-00059:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300060,ZPER,X,David David,Córdoba Herrera,,961184132,1956-01-06,CO,VAL,76001,Cr. 2ª # 2H-74 Este,3480333989,DAVID.BONILLA219@EJEMPLO.TEST,003,CR-00060:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300061,ZPER,X,Nohora,Moreno Hernández,,930420376,1941-08-06,CO,CUN,25754,Tr. 1N # 2V-4 Sur,3074461751,NOHORA.RAMÍREZ221@EJEMPLO.TEST,002,CR-00061:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300062,ZPER,X,Natalia Ester,Gaitán Pedraza,,925692377,1972-02-10,CO,CUN,25754,Diagonal 2ª # 99-48 Este,3369134988,NATALIA.ORTEGA222@EJEMPLO.TEST,002,CR-00062:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300063,ZPER,X,Luis Giovanny,Jiménez González,,948454556,2000-04-12,CO,BOG,11001,Carrera 124V # 4H-45,3284775669,LUIS.ARIAS226@EJEMPLO.TEST,003,CR-00063:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300064,ZPER,X,Sara,Garcés Vera,,962172140,1997-05-24,CO,CUN,25754,Calle 90 # 59K-9 Sur,3245282897,SARA.RODRÍGUEZ234@EJEMPLO.TEST,003,CR-00064:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300065,ZPER,X,Fernando Hernando,López Ochoa,,925117209,1997-06-28,CO,BOG,11001,Calle 190K Bis S # 1-32,3168432747,FERNANDO.BERMÚDEZ235@EJEMPLO.TEST,003,CR-00065:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300066,ZPER,X,Julián Wilson,Caro González,,936420477,1940-11-11,CO,VAL,76001,Carrera 7ª # 42-1 Sur,3128485572,JULIÁN.PACHECO240@EJEMPLO.TEST,002,CR-00066:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300067,ZPER,X,Adriana Nelly,Pinzón Acosta,,955034358,2006-02-13,CO,VAL,76001,Calle 91H # 39-6,3021633933,ADRIANA.RODRÍGUEZ241@EJEMPLO.TEST,002,CR-00067:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300068,ZPER,X,Vanessa Lucía,Salas Torres,,973372471,1986-08-25,CO,ANT,05001,Av. carrera 3ª # 65-7 Sur,3380078278,VANESSA.SOTO244@EJEMPLO.TEST,001,CR-00068:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300069,ZPER,X,Néstor Mateo,Murillo López,,925257223,2001-05-23,CO,ANT,05001,Carrera 171 # 4-4,3359416463,NÉSTOR.OJEDA245@EJEMPLO.TEST,002,CR-00069:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300070,ZPER,X,Dario David,Rodríguez Rosero,,921993237,1989-10-11,CO,VAL,76001,Cr. 83 # 2-18 Sur,3346990314,DARIO.MONTES251@EJEMPLO.TEST,001,CR-00070:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300071,ZPER,X,Francy,Ordóñez Gallego,,936472220,1978-03-01,CO,CUN,25286,Cl. 9ª # 51-55 Este,3028654871,FRANCY.CASTRO252@EJEMPLO.TEST,003,CR-00071:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300072,ZPER,X,Valentina Cecilia,Moreno Córdoba,,944254878,1990-12-05,CO,ANT,05001,Calle 136 # 86-67 Sur,3386966358,VALENTINA.SARMIENTO256@EJEMPLO.TEST,002,CR-00072:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300073,ZPER,X,Shirley María,Figueroa Beltrán,,976272984,1967-09-03,CO,ANT,05001,Cr. 8 Bis I # 9-19,3181296437,SHIRLEY.GONZÁLEZ257@EJEMPLO.TEST,003,CR-00073:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300074,ZPER,X,Doris Olga,Hurtado García,,931257051,1987-08-23,CO,CUN,25286,Av. calle 15 # 3-5,3373430240,DORIS.MORA258@EJEMPLO.TEST,002,CR-00074:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300075,ZPER,X,María Alicia,Murillo Ruiz,,973385534,1992-07-25,CO,CUN,25286,Cl. 166X # 80-29,3070915601,MARÍA.NARVÁEZ262@EJEMPLO.TEST,001,CR-00075:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300076,ZPER,X,María,Vanegas Gutiérrez,,988391290,1941-01-07,CO,CUN,25286,Carrera 91 # 6-87,3070597328,MARÍA.GALINDO263@EJEMPLO.TEST,003,CR-00076:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300077,ZPER,X,Alfonso,Nieto Rodríguez,,945923440,1975-09-08,CO,ANT,05001,Cr. 174P # 5R-6 Este,3039279409,ALFONSO.OCHOA267@EJEMPLO.TEST,003,CR-00077:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300078,ZPER,X,Andrés,Agudelo Benítez,,981558079,1953-10-02,CO,ANT,05001,Cl. 130S Sur # 21-88 Este,3217675326,ANDRÉS.MEZA269@EJEMPLO.TEST,003,CR-00078:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300079,ZPER,X,Julieth,Arias Morales,,982582902,1984-01-01,CO,CUN,25286,Dg. 122 # 9-6,3116790535,JULIETH.LUNA281@EJEMPLO.TEST,002,CR-00079:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300080,ZPER,X,Paola María,Álvarez Hernández,,937164022,1943-08-06,CO,ANT,05001,Avenida carrera 45 # 71-6 Sur,3212805222,PAOLA.GIL287@EJEMPLO.TEST,001,CR-00080:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300081,ZPER,X,William,Restrepo Silva,,956772301,1941-12-26,CO,ANT,05001,Calle 98R # 1-2 Este,3257006594,WILLIAM.MONTES288@EJEMPLO.TEST,002,CR-00081:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300082,ZPER,X,Elena,Rojas Bustamante,,946994768,1949-12-09,CO,CUN,25754,Dg. 8ª # 9-4,3240103939,ELENA.MÁRQUEZ289@EJEMPLO.TEST,001,CR-00082:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300083,ZPER,X,Alexander,Mercado Vásquez,,920386299,1997-07-08,CO,ANT,05001,Calle 184 # 2-8 Sur,3171122672,ALEXANDER.VALENCIA291@EJEMPLO.TEST,002,CR-00083:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300084,ZPER,X,Diana Candelaria,Quintero Guerrero,,964354844,1988-02-28,CO,VAL,76001,Carrera 1ª # 7-4,3316879465,DIANA.BERMÚDEZ293@EJEMPLO.TEST,003,CR-00084:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300085,ZPER,X,Xiomara,Jaramillo Rojas,,916045097,1998-12-07,CO,ANT,05001,Cl. 45 # 42-7 Sur,3485456554,XIOMARA.FUENTES294@EJEMPLO.TEST,002,CR-00085:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300086,ZPER,X,Jhon David,González Cardona,,950616156,1954-03-10,CO,ANT,05001,Avenida carrera 8ª # 1-4 Este,3310471555,JHON.TORRES296@EJEMPLO.TEST,003,CR-00086:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300087,ZPER,X,María María,Gutiérrez Trujillo,,984545834,1970-03-13,CO,VAL,76001,Cl. 50D # 69-75 Sur,3132759013,MARÍA.GARCÍA299@EJEMPLO.TEST,002,CR-00087:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300088,ZPER,X,Óscar Fernando,Zambrano Ardila,,998998098,1977-09-06,CO,CUN,25286,Cr. 75 # 65-7 Este,3347761884,ÓSCAR.SOLANO301@EJEMPLO.TEST,003,CR-00088:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300089,ZPER,X,Milena,Hoyos Pérez,,946992358,1997-03-18,CO,VAL,76001,Carrera 46U # 56-3,3454702610,MILENA.HERNÁNDEZ303@EJEMPLO.TEST,001,CR-00089:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300090,ZPER,X,Yasmín,Fuentes Prada,,979254625,1941-07-21,CO,BOG,11001,Carrera 78 # 6-7 Este,3382666246,YASMÍN.SOLANO307@EJEMPLO.TEST,001,CR-00090:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300091,ZPER,X,Giovanny,Pérez Lozano,,937149129,1965-10-17,CO,BOG,11001,Carrera 6ª # 1-7,3365833986,GIOVANNY.GONZÁLEZ311@EJEMPLO.TEST,003,CR-00091:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300092,ZPER,X,Sandra Julia,González Torres,,952586092,2005-06-12,CO,BOG,11001,Tr. 22W # 10-56 Sur,3373027271,SANDRA.CHAPARRO315@EJEMPLO.TEST,002,CR-00092:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300093,ZPER,X,María Eliana,Quiroga Obando,,923424046,1983-01-30,CO,CUN,25754,Carrera 120O # 68Z-3 Sur,3020763635,MARÍA.VERA318@EJEMPLO.TEST,003,CR-00093:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300094,ZPER,X,José,Caicedo Ramos,,942849986,1942-03-27,CO,VAL,76001,Calle 108V # 2-90,3125081056,JOSÉ.GAMBOA321@EJEMPLO.TEST,003,CR-00094:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300095,ZPER,X,Silvia,Toro Romero,,968786420,1999-08-02,CO,VAL,76001,Avenida Macanal # 34-36 Este,3280553309,SILVIA.GUERRERO322@EJEMPLO.TEST,001,CR-00095:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300096,ZPER,X,Lucía,Vargas Arias,,962274449,1951-08-31,CO,BOG,11001,Transversal 110 # 85-11 Este,3416039051,LUCÍA.BERMÚDEZ323@EJEMPLO.TEST,001,CR-00096:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300097,ZPER,X,Guillermo,Villamizar Ortega,,954568735,1973-05-14,CO,CUN,25286,Cl. 79 # 9-92 Sur,3460709995,GUILLERMO.LÓPEZ328@EJEMPLO.TEST,002,CR-00097:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300098,ZPER,X,Manuel Carlos,Valencia Hernández,,994884664,2008-03-20,CO,BOG,11001,Cl. 38 # 4-46 Este,3084654463,MANUEL.SOTO329@EJEMPLO.TEST,003,CR-00098:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300099,ZPER,X,Raquel Jenny,Ochoa Salazar,,962039918,1960-07-22,CO,BOG,11001,Tr. 191U Sur # 7G-30 Este,3379314573,RAQUEL.AGUIRRE330@EJEMPLO.TEST,001,CR-00099:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
